810#030#Madrid#Asignado#XTRA TELECOM, S.A.UNIPERSONAL#02/12/2015
858#000#Granada#Asignado#ORANGE ESPAGNE, S.A. UNIPERSONAL#10/03/2016
858#020#Granada#Asignado#BT ESPAÑA COMPAÑÍA DE SERVICIOS GLOBALES DE TELECOMUNICACIONES, S.A. UNIPERSONAL#16/02/2006
858#028#Granada#Asignado#ALTA TECNOLOGIA EN COMUNICACIONS, S.L.#12/07/2006
858#030#Granada#Asignado#XTRA TELECOM, S.A.UNIPERSONAL#02/12/2015
858#070##Asignado#LLEIDA NETWORKS SERVEIS TELEMÀTICS, S.A.#28/02/2019
858#080#Granada#Asignado#XTRA TELECOM, S.A.UNIPERSONAL#09/02/2012
859#000#Huelva#Asignado#ORANGE ESPAGNE, S.A. UNIPERSONAL#10/03/2016
859#010##Asignado#LLEIDA NETWORKS SERVEIS TELEMÀTICS, S.A.#28/02/2019
859#020#Huelva#Asignado#BT ESPAÑA COMPAÑÍA DE SERVICIOS GLOBALES DE TELECOMUNICACIONES, S.A. UNIPERSONAL#16/02/2006
859#059#Huelva#Asignado#ALTA TECNOLOGIA EN COMUNICACIONS, S.L.#12/07/2006
859#080#Huelva#Asignado#XTRA TELECOM, S.A.UNIPERSONAL#25/11/2013
860#000#Valencia/València#Asignado#ORANGE ESPAGNE, S.A. UNIPERSONAL#10/03/2016
860#001#Valencia/València#Asignado#ORANGE ESPAGNE, S.A. UNIPERSONAL#10/03/2016
860#020#Valencia/València#Asignado#BT ESPAÑA COMPAÑÍA DE SERVICIOS GLOBALES DE TELECOMUNICACIONES, S.A. UNIPERSONAL#16/02/2006
860#030#Valencia/València#Asignado#XTRA TELECOM, S.A.UNIPERSONAL#02/12/2015
860#031#Valencia/València#Asignado#XTRA TELECOM, S.A.UNIPERSONAL#02/12/2015
860#040#Valencia/València#Asignado#VOZTELECOM OIGAA360, S.A.#09/05/2007
860#111#Valencia/València#Asignado#COLT TECHNOLOGY SERVICES, S.A. UNIPERSONAL#16/02/2006
860#160#Valencia/València#Asignado#ALTA TECNOLOGIA EN COMUNICACIONS, S.L.#12/07/2006
860#161##Asignado#LLEIDA NETWORKS SERVEIS TELEMÀTICS, S.A.#28/02/2019
864#000#Castellón/Castelló#Asignado#ORANGE ESPAGNE, S.A. UNIPERSONAL#10/03/2016
864#010##Asignado#LLEIDA NETWORKS SERVEIS TELEMÀTICS, S.A.#28/02/2019
864#020#Castellón/Castelló#Asignado#BT ESPAÑA COMPAÑÍA DE SERVICIOS GLOBALES DE TELECOMUNICACIONES, S.A. UNIPERSONAL#16/02/2006
864#030#Castellón/Castelló#Asignado#XTRA TELECOM, S.A.UNIPERSONAL#02/12/2015
864#040#Castellón/Castelló#Asignado#VOZTELECOM OIGAA360, S.A.#09/05/2007
864#064#Castellón/Castelló#Asignado#ALTA TECNOLOGIA EN COMUNICACIONS, S.L.#12/07/2006
864#080#Castellón/Castelló#Asignado#XTRA TELECOM, S.A.UNIPERSONAL#09/02/2012
865#000#Alicante/Alacant#Asignado#ORANGE ESPAGNE, S.A. UNIPERSONAL#10/03/2016
865#001#Alicante/Alacant#Asignado#ORANGE ESPAGNE, S.A. UNIPERSONAL#10/03/2016
865#020#Alicante/Alacant#Asignado#BT ESPAÑA COMPAÑÍA DE SERVICIOS GLOBALES DE TELECOMUNICACIONES, S.A. UNIPERSONAL#16/02/2006
865#030#Alicante/Alacant#Asignado#XTRA TELECOM, S.A.UNIPERSONAL#02/12/2015
865#031#Alicante/Alacant#Asignado#XTRA TELECOM, S.A.UNIPERSONAL#02/12/2015
865#040#Alicante/Alacant#Asignado#VOZTELECOM OIGAA360, S.A.#09/05/2007
865#055#Alicante/Alacant#Asignado#TELEFÓNICA DE ESPAÑA, S.A. UNIPERSONAL#16/02/2006
865#080#Alicante/Alacant#Asignado#XTRA TELECOM, S.A.UNIPERSONAL#09/02/2012
865#165#Alicante/Alacant#Asignado#ALTA TECNOLOGIA EN COMUNICACIONS, S.L.#12/07/2006
865#190##Asignado#LLEIDA NETWORKS SERVEIS TELEMÀTICS, S.A.#28/02/2019
867#000#Albacete#Asignado#ORANGE ESPAGNE, S.A. UNIPERSONAL#10/03/2016
867#001#Albacete#Asignado#ORANGE ESPAGNE, S.A. UNIPERSONAL#10/03/2016
867#020#Albacete#Asignado#BT ESPAÑA COMPAÑÍA DE SERVICIOS GLOBALES DE TELECOMUNICACIONES, S.A. UNIPERSONAL#16/02/2006
867#060##Asignado#LLEIDA NETWORKS SERVEIS TELEMÀTICS, S.A.#28/02/2019
867#067#Albacete#Asignado#ALTA TECNOLOGIA EN COMUNICACIONS, S.L.#12/07/2006
867#080#Albacete#Asignado#XTRA TELECOM, S.A.UNIPERSONAL#09/02/2012
868#520#Murcia#Asignado#BT ESPAÑA COMPAÑÍA DE SERVICIOS GLOBALES DE TELECOMUNICACIONES, S.A. UNIPERSONAL#16/02/2006
868#530#Murcia#Asignado#XTRA TELECOM, S.A.UNIPERSONAL#02/12/2015
868#540#Murcia#Asignado#VOZTELECOM OIGAA360, S.A.#09/05/2007
868#561#Murcia#Asignado#TELEFÓNICA DE ESPAÑA, S.A. UNIPERSONAL#18/07/2019
868#568#Murcia#Asignado#ALTA TECNOLOGIA EN COMUNICACIONS, S.L.#12/07/2006
868#580#Murcia#Asignado#XTRA TELECOM, S.A.UNIPERSONAL#09/02/2012
868#584#Murcia#Asignado#ORANGE ESPAGNE, S.A. UNIPERSONAL#10/03/2016
868#590##Asignado#LLEIDA NETWORKS SERVEIS TELEMÀTICS, S.A.#28/02/2019
869#000#Cuenca#Asignado#ORANGE ESPAGNE, S.A. UNIPERSONAL#10/03/2016
869#020#Cuenca#Asignado#BT ESPAÑA COMPAÑÍA DE SERVICIOS GLOBALES DE TELECOMUNICACIONES, S.A. UNIPERSONAL#16/02/2006
869#060##Asignado#LLEIDA NETWORKS SERVEIS TELEMÀTICS, S.A.#28/02/2019
869#069#Cuenca#Asignado#ALTA TECNOLOGIA EN COMUNICACIONS, S.L.#12/07/2006
869#080#Cuenca#Asignado#XTRA TELECOM, S.A.UNIPERSONAL#09/02/2012
871#300#Balears, Illes#Asignado#ORANGE ESPAGNE, S.A. UNIPERSONAL#10/03/2016
871#310##Asignado#LLEIDA NETWORKS SERVEIS TELEMÀTICS, S.A.#28/02/2019
871#320#Balears, Illes#Asignado#BT ESPAÑA COMPAÑÍA DE SERVICIOS GLOBALES DE TELECOMUNICACIONES, S.A. UNIPERSONAL#16/02/2006
871#330#Balears, Illes#Asignado#XTRA TELECOM, S.A.UNIPERSONAL#02/12/2015
871#340#Balears, Illes#Asignado#VOZTELECOM OIGAA360, S.A.#09/05/2007
871#380#Balears, Illes#Asignado#XTRA TELECOM, S.A.UNIPERSONAL#09/02/2012
871#390#Balears, Illes#Asignado#SOLUCIONES CORPORATIVAS IP, S.L. UNIPERSONAL#14/09/2018
871#471#Balears, Illes#Asignado#ALTA TECNOLOGIA EN COMUNICACIONS, S.L.#12/07/2006
872#120#Girona#Asignado#BT ESPAÑA COMPAÑÍA DE SERVICIOS GLOBALES DE TELECOMUNICACIONES, S.A. UNIPERSONAL#16/02/2006
872#121##Asignado#LLEIDA NETWORKS SERVEIS TELEMÀTICS, S.A.#28/02/2019
872#130#Girona#Asignado#XTRA TELECOM, S.A.UNIPERSONAL#02/12/2015
872#131#Girona#Asignado#XTRA TELECOM, S.A.UNIPERSONAL#02/12/2015
872#145#Girona#Asignado#VOZTELECOM OIGAA360, S.A.#09/05/2007
872#172#Girona#Asignado#ALTA TECNOLOGIA EN COMUNICACIONS, S.L.#12/07/2006
872#180#Girona#Asignado#XTRA TELECOM, S.A.UNIPERSONAL#09/02/2012
872#187#Girona#Asignado#ORANGE ESPAGNE, S.A. UNIPERSONAL#10/03/2016
872#188#Girona#Asignado#ORANGE ESPAGNE, S.A. UNIPERSONAL#10/03/2016
873#000#Lleida#Asignado#ORANGE ESPAGNE, S.A. UNIPERSONAL#10/03/2016
873#001#Lleida#Asignado#ORANGE ESPAGNE, S.A. UNIPERSONAL#10/03/2016
873#020#Lleida#Asignado#BT ESPAÑA COMPAÑÍA DE SERVICIOS GLOBALES DE TELECOMUNICACIONES, S.A. UNIPERSONAL#16/02/2006
873#040#Lleida#Asignado#VOZTELECOM OIGAA360, S.A.#09/05/2007
873#041##Asignado#LLEIDA NETWORKS SERVEIS TELEMÀTICS, S.A.#28/02/2019
873#073#Lleida#Asignado#ALTA TECNOLOGIA EN COMUNICACIONS, S.L.#12/07/2006
874#000#Huesca#Asignado#ORANGE ESPAGNE, S.A. UNIPERSONAL#10/03/2016
874#001#Huesca#Asignado#ORANGE ESPAGNE, S.A. UNIPERSONAL#10/03/2016
874#020#Huesca#Asignado#BT ESPAÑA COMPAÑÍA DE SERVICIOS GLOBALES DE TELECOMUNICACIONES, S.A. UNIPERSONAL#16/02/2006
874#054#Huesca#Asignado#ALTA TECNOLOGIA EN COMUNICACIONS, S.L.#12/07/2006
874#060##Asignado#LLEIDA NETWORKS SERVEIS TELEMÀTICS, S.A.#28/02/2019
874#080#Huesca#Asignado#XTRA TELECOM, S.A.UNIPERSONAL#25/11/2013
875#000#Soria#Asignado#ORANGE ESPAGNE, S.A. UNIPERSONAL#10/03/2016
875#020#Soria#Asignado#BT ESPAÑA COMPAÑÍA DE SERVICIOS GLOBALES DE TELECOMUNICACIONES, S.A. UNIPERSONAL#16/02/2006
875#050#Soria#Asignado#TELEFÓNICA DE ESPAÑA, S.A. UNIPERSONAL#16/02/2006
875#060##Asignado#LLEIDA NETWORKS SERVEIS TELEMÀTICS, S.A.#28/02/2019
875#075#Soria#Asignado#ALTA TECNOLOGIA EN COMUNICACIONS, S.L.#12/07/2006
875#080#Soria#Asignado#XTRA TELECOM, S.A.UNIPERSONAL#25/11/2013
876#320#Zaragoza#Asignado#BT ESPAÑA COMPAÑÍA DE SERVICIOS GLOBALES DE TELECOMUNICACIONES, S.A. UNIPERSONAL#16/02/2006
876#330#Zaragoza#Asignado#XTRA TELECOM, S.A.UNIPERSONAL#02/12/2015
876#331#Zaragoza#Asignado#XTRA TELECOM, S.A.UNIPERSONAL#02/12/2015
876#340#Zaragoza#Asignado#VOZTELECOM OIGAA360, S.A.#09/05/2007
876#363##Asignado#LLEIDA NETWORKS SERVEIS TELEMÀTICS, S.A.#28/02/2019
876#376#Zaragoza#Asignado#ALTA TECNOLOGIA EN COMUNICACIONS, S.L.#12/07/2006
876#380#Zaragoza#Asignado#XTRA TELECOM, S.A.UNIPERSONAL#10/12/2013
876#387#Zaragoza#Asignado#ORANGE ESPAGNE, S.A. UNIPERSONAL#10/03/2016
876#388#Zaragoza#Asignado#ORANGE ESPAGNE, S.A. UNIPERSONAL#10/03/2016
877#111#Tarragona#Asignado#ORANGE ESPAGNE, S.A. UNIPERSONAL#10/03/2016
877#120#Tarragona#Asignado#BT ESPAÑA COMPAÑÍA DE SERVICIOS GLOBALES DE TELECOMUNICACIONES, S.A. UNIPERSONAL#16/02/2006
877#140#Tarragona#Asignado#VOZTELECOM OIGAA360, S.A.#09/05/2007
877#141##Asignado#LLEIDA NETWORKS SERVEIS TELEMÀTICS, S.A.#28/02/2019
877#158#Tarragona#Asignado#TELEFÓNICA DE ESPAÑA, S.A. UNIPERSONAL#16/02/2006
877#177#Tarragona#Asignado#ALTA TECNOLOGIA EN COMUNICACIONS, S.L.#12/07/2006
877#180#Tarragona#Asignado#XTRA TELECOM, S.A.UNIPERSONAL#09/02/2012
878#000#Teruel#Asignado#ORANGE ESPAGNE, S.A. UNIPERSONAL#10/03/2016
878#001#Teruel#Asignado#ORANGE ESPAGNE, S.A. UNIPERSONAL#10/03/2016
878#020#Teruel#Asignado#BT ESPAÑA COMPAÑÍA DE SERVICIOS GLOBALES DE TELECOMUNICACIONES, S.A. UNIPERSONAL#16/02/2006
878#053##Asignado#LLEIDA NETWORKS SERVEIS TELEMÀTICS, S.A.#28/02/2019
878#078#Teruel#Asignado#ALTA TECNOLOGIA EN COMUNICACIONS, S.L.#12/07/2006
878#080#Teruel#Asignado#XTRA TELECOM, S.A.UNIPERSONAL#25/11/2013
879#000#Palencia#Asignado#ORANGE ESPAGNE, S.A. UNIPERSONAL#10/03/2016
879#020#Palencia#Asignado#BT ESPAÑA COMPAÑÍA DE SERVICIOS GLOBALES DE TELECOMUNICACIONES, S.A. UNIPERSONAL#16/02/2006
879#079#Palencia#Asignado#ALTA TECNOLOGIA EN COMUNICACIONS, S.L.#12/07/2006
879#080##Asignado#XTRA TELECOM, S.A.UNIPERSONAL#07/09/2011
879#081##Asignado#LLEIDA NETWORKS SERVEIS TELEMÀTICS, S.A.#28/02/2019
880#020#Zamora#Asignado#BT ESPAÑA COMPAÑÍA DE SERVICIOS GLOBALES DE TELECOMUNICACIONES, S.A. UNIPERSONAL#16/02/2006
880#040#Zamora#Asignado#XTRA TELECOM, S.A.UNIPERSONAL#10/12/2013
880#060##Asignado#LLEIDA NETWORKS SERVEIS TELEMÀTICS, S.A.#28/02/2019
880#080#Zamora#Asignado#ALTA TECNOLOGIA EN COMUNICACIONS, S.L.#12/07/2006
880#088#Zamora#Asignado#ORANGE ESPAGNE, S.A. UNIPERSONAL#10/03/2016
881#420#Coruña, A#Asignado#BT ESPAÑA COMPAÑÍA DE SERVICIOS GLOBALES DE TELECOMUNICACIONES, S.A. UNIPERSONAL#16/02/2006
881#430#Coruña, A#Asignado#XTRA TELECOM, S.A.UNIPERSONAL#02/12/2015
881#440#Coruña, A#Asignado#VOZTELECOM OIGAA360, S.A.#09/05/2007
881#444#Coruña, A#Asignado#ORANGE ESPAGNE, S.A. UNIPERSONAL#10/03/2016
881#480#Coruña, A#Asignado#XTRA TELECOM, S.A.UNIPERSONAL#25/11/2013
881#481#Coruña, A#Asignado#ALTA TECNOLOGIA EN COMUNICACIONS, S.L.#12/07/2006
881#490##Asignado#LLEIDA NETWORKS SERVEIS TELEMÀTICS, S.A.#28/02/2019
882#000#Lugo#Asignado#ORANGE ESPAGNE, S.A. UNIPERSONAL#10/03/2016
882#020#Lugo#Asignado#BT ESPAÑA COMPAÑÍA DE SERVICIOS GLOBALES DE TELECOMUNICACIONES, S.A. UNIPERSONAL#16/02/2006
882#053##Asignado#LLEIDA NETWORKS SERVEIS TELEMÀTICS, S.A.#28/02/2019
882#080#Lugo#Asignado#XTRA TELECOM, S.A.UNIPERSONAL#25/11/2013
882#082#Lugo#Asignado#ALTA TECNOLOGIA EN COMUNICACIONS, S.L.#12/07/2006
883#000#Valladolid#Asignado#ORANGE ESPAGNE, S.A. UNIPERSONAL#10/03/2016
883#020#Valladolid#Asignado#BT ESPAÑA COMPAÑÍA DE SERVICIOS GLOBALES DE TELECOMUNICACIONES, S.A. UNIPERSONAL#16/02/2006
883#030#Valladolid#Asignado#XTRA TELECOM, S.A.UNIPERSONAL#02/12/2015
883#050#Valladolid#Asignado#TELEFÓNICA DE ESPAÑA, S.A. UNIPERSONAL#16/02/2006
883#060##Asignado#LLEIDA NETWORKS SERVEIS TELEMÀTICS, S.A.#28/02/2019
883#080#Valladolid#Asignado#XTRA TELECOM, S.A.UNIPERSONAL#25/11/2013
883#083#Valladolid#Asignado#ALTA TECNOLOGIA EN COMUNICACIONS, S.L.#12/07/2006
884#000#Asturias#Asignado#ORANGE ESPAGNE, S.A. UNIPERSONAL#10/03/2016
884#001#Asturias#Asignado#ORANGE ESPAGNE, S.A. UNIPERSONAL#10/03/2016
884#020#Asturias#Asignado#BT ESPAÑA COMPAÑÍA DE SERVICIOS GLOBALES DE TELECOMUNICACIONES, S.A. UNIPERSONAL#16/02/2006
884#021##Asignado#LLEIDA NETWORKS SERVEIS TELEMÀTICS, S.A.#28/02/2019
884#030#Asturias#Asignado#XTRA TELECOM, S.A.UNIPERSONAL#02/12/2015
884#031#Asturias#Asignado#XTRA TELECOM, S.A.UNIPERSONAL#02/12/2015
884#040#Asturias#Asignado#VOZTELECOM OIGAA360, S.A.#09/05/2007
884#180#Asturias#Asignado#XTRA TELECOM, S.A.UNIPERSONAL#10/12/2013
884#184#Asturias#Asignado#ALTA TECNOLOGIA EN COMUNICACIONS, S.L.#12/07/2006
886#520#Pontevedra#Asignado#BT ESPAÑA COMPAÑÍA DE SERVICIOS GLOBALES DE TELECOMUNICACIONES, S.A. UNIPERSONAL#16/02/2006
886#530#Pontevedra#Asignado#XTRA TELECOM, S.A.UNIPERSONAL#02/12/2015
886#580#Pontevedra#Asignado#XTRA TELECOM, S.A.UNIPERSONAL#25/11/2013
886#581##Asignado#LLEIDA NETWORKS SERVEIS TELEMÀTICS, S.A.#28/02/2019
886#786#Pontevedra#Asignado#ALTA TECNOLOGIA EN COMUNICACIONS, S.L.#12/07/2006
886#789#Pontevedra#Asignado#ORANGE ESPAGNE, S.A. UNIPERSONAL#10/03/2016
887#000#León#Asignado#ORANGE ESPAGNE, S.A. UNIPERSONAL#10/03/2016
887#001#León#Asignado#ORANGE ESPAGNE, S.A. UNIPERSONAL#10/03/2016
887#020#León#Asignado#BT ESPAÑA COMPAÑÍA DE SERVICIOS GLOBALES DE TELECOMUNICACIONES, S.A. UNIPERSONAL#16/02/2006
887#050#León#Asignado#TELEFÓNICA DE ESPAÑA, S.A. UNIPERSONAL#16/02/2006
887#051#León#Asignado#LLEIDA NETWORKS SERVEIS TELEMÀTICS, S.A.#28/02/2019
887#080#León#Asignado#XTRA TELECOM, S.A.UNIPERSONAL#25/11/2013
887#087#León#Asignado#ALTA TECNOLOGIA EN COMUNICACIONS, S.L.#12/07/2006
888#000#Ourense#Asignado#ORANGE ESPAGNE, S.A. UNIPERSONAL#10/03/2016
888#020#Ourense#Asignado#BT ESPAÑA COMPAÑÍA DE SERVICIOS GLOBALES DE TELECOMUNICACIONES, S.A. UNIPERSONAL#16/02/2006
888#040#Ourense#Asignado#XTRA TELECOM, S.A.UNIPERSONAL#10/12/2013
888#053##Asignado#LLEIDA NETWORKS SERVEIS TELEMÀTICS, S.A.#28/02/2019
888#088#Ourense#Asignado#ALTA TECNOLOGIA EN COMUNICACIONS, S.L.#12/07/2006
